,위      치,아파트명,동수,층수,세대수,인구수,건축 연도,lat,lng,연식,score
759, 경대로27길40,복현동  아이파크,1,7,12,11,2003,35.894163899999995,128.6177165,17,20
760, 경진로 22,마이 하우스,1,6,19,74,2000,35.8948076,128.61487250000002,20,30
761, 경진로27,대웅아파트 103동,1,10,18,49,2002,35.89451469999999,128.6157509,18,20
762, 경진로29,대웅아파트 102동,1,10,18,72,2002,35.8943767,128.6159381,18,20
763, 경진로31,대웅아파트 101동,1,10,18,62,2002,35.8942387,128.6161243,18,20
764, 경진로51,리치파크,1,10,19,75,2015,35.8930158,128.6175049,5,10
765, 경진로67,복현미래아파트,1,10,18,19,2003,35.892077,128.6188335,17,20
766, 경진로75-13,선진아파트 101동,1,11,19,52,2003,35.8919251,128.6198015,17,20
767, 경진로 79,은 하,2,5,60,290,1980,35.8913777,128.61986480000002,40,40
768, 경진로1길77,하이 클래스,1,10,18,71,2014,35.892818299999995,128.6201496,6,10
769, 경진로남1길 20,동양,1,9,16,56,2002,35.8947439,128.61568290000002,18,20
770, 경진로남1길 33,럭 키,2,5,70,287,1983,35.89385499999999,128.61747820000002,37,40
771, 고성로34길 53,세정 드림빌,1,7,12,39,2003,35.880004,128.5862932,17,20
772, 고성북로 3,고 성,3,15,453,1523,1993,35.8804508,128.5818909,27,30
773, 고성북로 28-25,보 우,1,5,55,223,1981,35.8822671,128.5848336,39,40
774, 고성북로 36,신 흥,2,5,50,210,1980,35.882842100000005,128.58410020000002,40,40
775, 고성북로 43-25,우 일,1,5,50,159,1981,35.883712100000004,128.5825748,39,40
776, 공평로 135,대성 아파트,3,5,49,124,1979,35.8761622,128.6009707,41,40
777, 공평로 183-1,새동네,3,5,110,513,1982,35.880705400000004,128.6003017,38,40
778, 공항로31,복현동  장미,2,5,135,489,1981,35.8986563,128.6185379,39,40
779, 공항로84,복현우방타운,4,13,294,1176,1997,35.8993046,128.6242413,23,30
780, 공항로5길6,한 라,4,5,140,521,1979,35.8991917,128.61835929999998,41,40
781, 공항로15길8,복현2차 서한타운,9,14,553,2212,1998,35.9007073,128.6238447,22,30
782, 관음동로110,연합송암타운,3,4,54,160,1992,35.942820399999995,128.54783740000002,28,30
783, 관음동로 128,청암타운,7,4,172,515,1992,35.944326399999994,128.5480595,28,30
784, 관음로18,태전대백맨션,3,18,270,1099,1995,35.931590500000006,128.5399858,25,30
785, 관음로 24,칠곡대백맨션,5,20,430,1221,1993,35.93229229999999,128.5412617,27,30
786, 관음로 50,한신,5,13,336,1289,1992,35.934750799999996,128.5419368,28,30
787, 관음로295,학정역효성해링턴플레이스,5,25,467,1401,2018,35.9415586,128.5419881,2,10
788, 관음중앙로 6,칠곡서한맨션,2,15,300,1118,1992,35.93451100000001,128.5451169,28,30
789, 관음중앙로 37,성창,5,5,200,758,1987,35.9371166,128.5437439,33,40
790, 구리로26,칠곡우방하이츠,3,20,404,1616,1999,35.945780299999996,128.557439,21,30
791, 구리로 183-28,두산 아파트,6,5,280,336,1995,35.949212200000005,128.57243400000002,25,30
792, 내곡로49,이편한세상대구금호,7,34,602,1957,2017,35.86831340000001,128.7109528,3,10
793, 내곡로69,대구금호LH천년나무5단지,8,20,1252,　,2016,35.90937,128.7493263,4,10
794, 내곡로70,서희스타힐스(대구금호스타힐스  6단지),8,25,904,2720,2018,35.9002554,128.5105407,2,10
795, 내곡로89,대구금호 엘에이치 3단지,8,25,1088,3012,2015,35.90937,128.7493263,5,10
796, 노원로10길40,노원LH천년나무 ,12,29,1580,　,2017,35.8915116,128.57195520000002,3,10
797, 노원로10길 71,광 영,3,5,43,331,1980,35.891708200000004,128.5713774,40,40
798, 노원로10길 99,성경로얄 센트로,1,11,20,56,2002,35.8913139,128.5727912,18,20
799, 노원로10길 105,성경로얄 센트로,1,11,40,152,2001,35.8912225,128.5732447,19,20
800, 대구체육관로12,산격청구 맨션,1,17,79,278,1996,35.890758700000006,128.60173,24,30
801, 대구체육관로4길 2,산격2차  청구맨션,2,20,187,724,1999,35.89058370000001,128.6022969,21,30
802, 대불로5길16,산격동  수정,4,5,149,598,1982,35.902426399999996,128.6122118,38,40
803, 대불로5길 21,산격 에덴2차,2,5,95,371,1986,35.901478999999995,128.6122344,34,40
804, 대불로5길 22,산격 에덴1차,4,5,160,1678,1985,35.9022315,128.6113695,35,40
805, 대천로 100,화성센트럴파크,8,15,1440,3522,2003,35.9351608,128.56060060000001,17,20
806, 대천로 101,칠곡3차화성타운,8,17,1143,4464,1999,35.93781679999999,128.56120009999998,21,30
