,지역,0∼4세,5∼9세,10∼14세,15∼19세,20∼24세,25∼29세,30∼34세,35∼39세,40∼44세,45∼49세,50∼54세,55∼59세,60∼64세,65∼69세,70∼74세,75∼79세,80∼84세,85∼89세,90∼94세,95∼99세,100세이상,lat,lng,지수,유아노인
108,성당동,715,1091,964,1106,1462,1559,1265,1691,1751,1952,2106,2171,2103,1691,1181,843,545,226,62,22,8,35.8391055,128.558172,165.27,6384
109,두류1.2동,278,364,325,447,1005,1435,982,973,842,1130,1358,1381,1451,1074,820,744,443,176,56,11,6,35.8557,128.57219,344.36,3972
110,두류3동,176,239,275,339,621,709,501,497,534,650,759,812,761,642,492,408,286,120,38,7,5,35.8539621,128.5606934,289.57,2413
111,본리동,827,1292,1069,1060,1364,1351,1215,1796,1934,2003,1961,1969,1566,1058,630,405,250,125,35,13,3,35.8394295,128.5378025,79.02,4638
112,감삼동,1004,1207,1042,1358,2069,2278,1890,2032,1939,2306,2684,2584,2171,1427,926,660,382,142,55,12,2,35.8493743,128.54275,110.85,5817
113,죽전동,311,411,423,632,1130,1298,956,862,911,1188,1474,1544,1345,863,545,417,247,132,32,2,2,37.3290605,127.1264906,195.63,2962
114,장기동,612,775,786,973,1289,1229,1035,1303,1317,1513,1780,1608,1242,890,563,411,230,114,32,7,3,37.6449061,126.6695965,103.54,3637
115,용산1동,843,1304,1620,2117,2756,2375,1696,1782,2219,3200,3595,3096,2109,1201,839,644,425,168,46,8,2,35.8564639,128.531146,88.48,5480
116,용산2동,844,1100,1279,1791,2549,2260,1661,1748,1945,2843,3405,3131,2046,1155,743,614,410,161,52,10,2,35.8584355,128.5229248,97.64,5091
117,이곡1동,598,817,1037,1598,2169,2002,1259,1276,1594,2276,2845,2434,1496,903,592,444,327,160,39,7,0,35.8574826,128.5092171,100.82,3887
118,이곡2동,426,499,618,845,1254,1324,1136,1018,1015,1430,1688,1915,1570,872,496,372,222,112,33,8,0,35.8557134,128.5013439,137.07,3040
119,신당동,648,840,981,1607,3542,3084,1997,1674,1965,2803,3402,3098,2217,1348,1042,789,581,257,80,16,1,37.5615738,127.0194523,166.63,5602
120,월성1동,1741,3602,4449,3904,2706,1510,1587,3224,5137,5660,3672,2150,1658,1179,758,525,350,199,59,11,8,35.8282163,128.5255044,31.55,8432
121,월성2동,253,392,452,767,975,911,610,748,1030,1328,1507,1622,1628,1480,1153,912,629,275,81,12,6,35.8309119,128.528258,414.59,5193
122,진천동,4007,5232,4307,4154,4768,4526,4888,6960,6916,6771,6209,5700,4595,3185,1998,1500,956,469,139,19,17,35.8147467,128.5242038,61.15,17522
123,상인1동,1258,1858,2153,2822,3057,2436,1953,2331,2837,3757,3833,3610,2996,1905,1227,855,650,353,106,20,5,35.8142192,128.5449789,97.19,8237
124,상인2동,579,634,621,944,1619,2010,1574,1355,1150,1545,1877,2077,1823,1188,742,542,358,177,53,13,4,35.8125252,128.5362028,167.78,4290
125,상인3동,187,215,240,368,670,638,564,611,552,734,985,1347,1443,1106,704,584,381,219,68,12,0,35.8143995,128.5507763,478.82,3476
126,도원동,1014,1441,1571,2194,2761,2426,1858,2162,2259,3093,3681,3820,3338,1987,1222,929,700,324,89,26,0,35.7933182,128.5561738,131.07,7732
127,송현1동,385,507,525,852,1402,1525,1179,1164,1189,1580,1901,1978,1818,1388,958,753,512,206,64,13,3,35.8293845,128.5536447,275.02,4789
128,송현2동,323,470,551,762,1224,1348,977,1024,1113,1360,1675,1878,1929,1391,976,827,556,269,90,18,7,35.8251562,128.5544412,307.59,4927
129,본동,281,406,419,568,870,869,722,843,897,1099,1301,1368,1230,925,584,458,315,167,61,8,0,37.5124421,126.9534025,227.67,3205
130,화원읍,1604,1885,2054,2667,3361,3084,2537,2881,3163,4206,4953,4913,4105,2657,1795,1421,845,426,131,28,10,35.8037979,128.5005419,131.93,10802
131,논공읍,528,633,738,995,1263,1143,955,1060,1336,1911,2027,1910,1459,873,601,531,390,191,62,9,4,35.7740009,128.420212,140.13,3822
132,다사읍,5968,6705,4986,4229,4737,5098,6877,9646,8812,7512,6668,6199,4705,3067,1981,1332,778,389,122,25,2,35.8618121,128.4539479,43.58,20369
133,가창면,152,272,258,256,388,314,294,390,452,537,628,755,891,728,569,435,393,225,84,16,4,35.8026677,128.62285,359.82,2878
134,하빈면,22,39,34,27,56,57,53,59,55,68,157,200,200,147,120,150,146,94,20,6,1,35.9009251,128.445486,720,745
135,옥포면,1461,1240,902,820,1262,1488,1783,2351,1792,1782,1992,2372,2110,1430,977,709,473,222,62,8,0,35.7896321,128.463792,107.72,6582
136,현풍면,1328,1251,897,809,1238,1960,2247,2393,2001,1641,1633,1603,1506,993,763,566,405,200,62,10,3,35.6973058,128.4476215,86.36,5581
137,유가면,2664,2844,1969,1341,1093,1420,2584,4021,3434,2370,1551,1352,1234,845,468,331,262,113,44,4,2,35.6774198,128.4554311,27.67,7577
138,구지면,648,574,314,224,296,617,898,1049,801,631,598,621,603,467,353,326,293,154,39,7,1,35.6588229,128.4135003,106.77,2862
